file_name,trackName,Key,Bpm
spotify-track-7dBUmYn3cmzPUuPzNw4VQR_looped_segment.wav,spotify-track-7dBUmYn3cmzPUuPzNw4VQR,Gm,122.98
spotify-track-244b3WF9ZRUnX8KAyfohTY_drums_looped_segment.wav,spotify-track-244b3WF9ZRUnX8KAyfohTY,Bm,123.0
spotify-track-0lpOYdGZYDEXKOXDXV5R89_drums_looped_segment.wav,spotify-track-0lpOYdGZYDEXKOXDXV5R89,D,124.0
spotify-track-4JN2yZvd91XBenjLcK5CjO_bass_looped_segment.wav,spotify-track-4JN2yZvd91XBenjLcK5CjO,Abm,120.04
spotify-track-03H3L3c6gM8IGUYX3b5eCF_looped_segment.wav,spotify-track-03H3L3c6gM8IGUYX3b5eCF,Db,122.0
spotify-track-1KMn3JlNzW83sb0Nj3dWWi_looped_segment.wav,spotify-track-1KMn3JlNzW83sb0Nj3dWWi,Dbm,121.94
spotify-track-2c5sMzj2ReSWquSMU0BOUy_drums_looped_segment.wav,spotify-track-2c5sMzj2ReSWquSMU0BOUy,Bbm,124.0
spotify-track-75gi7zbVaGuRTtRxIFt5ra_other_looped_segment.wav,spotify-track-75gi7zbVaGuRTtRxIFt5ra,Bbm,120.0
spotify-track-6CJZGvnKbQOGVBdKpAVJL3_vocals_looped_segment.wav,spotify-track-6CJZGvnKbQOGVBdKpAVJL3,F#m,124.0
spotify-track-7043qcmBINZE2QqUIPubtt_other_looped_segment.wav,spotify-track-7043qcmBINZE2QqUIPubtt,Cm,124.0
spotify-track-7fjUN54h2VADTG36FG0uSf_drums_looped_segment.wav,spotify-track-7fjUN54h2VADTG36FG0uSf,Bbm,124.0
spotify-track-3FVygqqcLBA7NbxJGhov1m_bass_looped_segment.wav,spotify-track-3FVygqqcLBA7NbxJGhov1m,Gm,120.0
spotify-track-7FUwtszYlmBpOMS3xv0LFR_vocals_looped_segment.wav,spotify-track-7FUwtszYlmBpOMS3xv0LFR,Bbm,123.79
spotify-track-2N8ZFBdIBvoCkQCWbc09I8_drums_looped_segment.wav,spotify-track-2N8ZFBdIBvoCkQCWbc09I8,F,123.0
spotify-track-2YRXZ07HHM8MyHn2glaa9G_drums_looped_segment.wav,spotify-track-2YRXZ07HHM8MyHn2glaa9G,Bm,124.0
spotify-track-3N7IIDLCl3DQiHMF0ggtJg_drums_looped_segment.wav,spotify-track-3N7IIDLCl3DQiHMF0ggtJg,Gm,124.0
spotify-track-15TLw2bVV7vGl8A4j8rU7R_other_looped_segment.wav,spotify-track-15TLw2bVV7vGl8A4j8rU7R,Dm,122.99
spotify-track-7yHckMok74DATCkz8jRHNt_drums_looped_segment.wav,spotify-track-7yHckMok74DATCkz8jRHNt,Bm,124.0
spotify-track-0tr72PNdzhR1rz7L2JbDsS_bass_looped_segment.wav,spotify-track-0tr72PNdzhR1rz7L2JbDsS,Em,124.0
spotify-track-7l2G0H9YehNNK2ovOC0xw5_drums_looped_segment.wav,spotify-track-7l2G0H9YehNNK2ovOC0xw5,Cm,123.0
spotify-track-2ZTJJx1CEg8HQxFhIWg5UZ_other_looped_segment.wav,spotify-track-2ZTJJx1CEg8HQxFhIWg5UZ,F#m,120.0
spotify-track-1fTqi1d4VRvi2SRPmmPGXF_bass_looped_segment.wav,spotify-track-1fTqi1d4VRvi2SRPmmPGXF,F#m,124.0
spotify-track-2BWyaYLjUu85mjDdKwk6Up_other_looped_segment.wav,spotify-track-2BWyaYLjUu85mjDdKwk6Up,Em,124.0
spotify-track-1xxVuNcCyuHBmoCeeajQjU_vocals_looped_segment.wav,spotify-track-1xxVuNcCyuHBmoCeeajQjU,D,122.05
spotify-track-1jiZLHdfItUhCK8uPmlO4w_other_looped_segment.wav,spotify-track-1jiZLHdfItUhCK8uPmlO4w,Dm,121.0
spotify-track-2C3gbMqEirC52ZzyiRVIDr_bass_looped_segment.wav,spotify-track-2C3gbMqEirC52ZzyiRVIDr,Bm,122.0
spotify-track-1N4EPJpV2RcLljGPV4aMO3_drums_looped_segment.wav,spotify-track-1N4EPJpV2RcLljGPV4aMO3,Ebm,124.0
spotify-track-42DmkTp1nl229oC3hlAyUb_looped_segment.wav,spotify-track-42DmkTp1nl229oC3hlAyUb,Cm,121.98
spotify-track-13QSGBWJX4iklrZnprXXmG_bass_looped_segment.wav,spotify-track-13QSGBWJX4iklrZnprXXmG,D,122.05
spotify-track-71wosGvUxReqyyvIC1LsBy_other_looped_segment.wav,spotify-track-71wosGvUxReqyyvIC1LsBy,Eb,123.02
spotify-track-77SSctZprtUfZNxDb3gCEZ_drums_looped_segment.wav,spotify-track-77SSctZprtUfZNxDb3gCEZ,Ebm,123.0
spotify-track-4ogJOit8BDfK2iHHSwsuxY_drums_looped_segment.wav,spotify-track-4ogJOit8BDfK2iHHSwsuxY,Bb,120.0
spotify-track-5z9Yptr1bWanAg5srEvTjZ_bass_looped_segment.wav,spotify-track-5z9Yptr1bWanAg5srEvTjZ,Dm,120.0
spotify-track-1xxVuNcCyuHBmoCeeajQjU_looped_segment.wav,spotify-track-1xxVuNcCyuHBmoCeeajQjU,D,122.05
spotify-track-3rFmtx6wyfwqAnZDQWks4K_looped_segment.wav,spotify-track-3rFmtx6wyfwqAnZDQWks4K,Em,122.0
spotify-track-6novp0cmp5qTEaO6xr9i8L_other_looped_segment.wav,spotify-track-6novp0cmp5qTEaO6xr9i8L,Fm,123.0
spotify-track-2knvKF1pg0A3f5YuRP64fC_other_looped_segment.wav,spotify-track-2knvKF1pg0A3f5YuRP64fC,Fm,121.0
spotify-track-4l8fwDaGkOWJqvNacpcBTo_other_looped_segment.wav,spotify-track-4l8fwDaGkOWJqvNacpcBTo,Gm,122.0
spotify-track-2DHbDFItnJ9Wxj9WXQZVgt_other_looped_segment.wav,spotify-track-2DHbDFItnJ9Wxj9WXQZVgt,Dm,123.0
spotify-track-40uIuTAxb3V3JCLyFsV2Eb_bass_looped_segment.wav,spotify-track-40uIuTAxb3V3JCLyFsV2Eb,Ebm,122.98
spotify-track-5uE1l1zW3S6k0tJ2wRx0nk_bass_looped_segment.wav,spotify-track-5uE1l1zW3S6k0tJ2wRx0nk,Am,122.0
spotify-track-4HKlwvhCbzpbQxs5SVKSKh_drums_looped_segment.wav,spotify-track-4HKlwvhCbzpbQxs5SVKSKh,Gm,124.0
spotify-track-5TWC15bWYkl6Qok1WBIJLF_vocals_looped_segment.wav,spotify-track-5TWC15bWYkl6Qok1WBIJLF,Abm,122.0
spotify-track-2zpMPpgKEghcYlQxil6Svy_other_looped_segment.wav,spotify-track-2zpMPpgKEghcYlQxil6Svy,Bbm,121.01
spotify-track-26PlxMEgcFkLCRtzlsgWKS_bass_looped_segment.wav,spotify-track-26PlxMEgcFkLCRtzlsgWKS,Dbm,120.0
spotify-track-1SJsKYhiDRLLddBnGzGgbW_looped_segment.wav,spotify-track-1SJsKYhiDRLLddBnGzGgbW,Ebm,123.99
spotify-track-5xHmXDmj8lSaYudPi5m3xz_drums_looped_segment.wav,spotify-track-5xHmXDmj8lSaYudPi5m3xz,Ebm,122.0
