TrackID,Name,Artist,Album,Genre,Location,AverageBpm,Key
165461477,cappadocia-bbohmer,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/cappadocia-bbohmer.wav,123.0,Eb
148305152,bealone-osmith,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/bealone-osmith.wav,125.0,Bm
34101932,babaoreally-thewho,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/babaoreally-thewho.mp3,115.42,F
44671050,alrightnow-aboveandbeyond,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/alrightnow-aboveandbeyond.wav,128.0,A
265881305,Love & Happiness (Yemaya Y OchÃ¹n) [feat. IndiaTito & India] (Original Mix),"River Ocean, India, IndiaTito",The Tribal - EP,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/05%20Love%20%26%20Happiness%20(Yemaya%20Y%20Och%c3%83%c2%b9n)%20%5bfeat.%20IndiaTito%20%26%20India%5d%20(Original%20Mix).aiff,124.0,Gm
97575859,Sacrifice,Oliver Smith,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0210%20Oliver%20Smith%20-%20Sacrifice.flac,130.44,Am
47821744,Sun In Your Eyes (Sunny Lax Remix),Above & Beyond,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0218%20Above%20%26%20Beyond%20-%20Sun%20In%20Your%20Eyes%20(Sun.flac,132.0,Cm
146966755,Diving Out Of Love,Above & Beyond,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0217%20Above%20%26%20Beyond%20-%20Diving%20Out%20Of%20Love.flac,132.0,F#m
34748662,Crash,Above & Beyond,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0214%20Above%20%26%20Beyond%20-%20Crash.flac,131.59,Gm
245236480,Bittersweet & Blue (Above & Beyond Club Mix),Above & Beyond feat. Richard Bedford,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0213%20Above%20%26%20Beyond%20feat.%20Richard%20Bedford%20-.flac,131.3,Bbm
154018528,The Launch,Cosmic Gate & Andrew Bayer,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0211%20Cosmic%20Gate%20%26%20Andrew%20Bayer%20-%20The%20Launc.flac,130.74,Abm
128437282,The Test,Andrew Bayer & Genix,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0209%20Andrew%20Bayer%20%26%20Genix%20-%20The%20Test.flac,130.22,F#m
266653586,Jam,Above & Beyond,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0208%20Above%20%26%20Beyond%20-%20Jam.flac,129.87,Ebm
143437146,The Light,Grum & Genix,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0207%20Grum%20%26%20Genix%20-%20The%20Light.flac,129.65,F#m
20711442,Friend,ALPHA 9 & Muvy,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0206%20ALPHA%209%20%26%20Muvy%20-%20Friend.flac,129.45,Bm
226984979,Something Bigger (Elevven Remix),Gabriel & Dresden feat. Sub Teal,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0205%20Gabriel%20%26%20Dresden%20feat.%20Sub%20Teal%20-%20Som.flac,129.2,Em
46248916,Petrushka,Mat Zo,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0204%20Mat%20Zo%20-%20Petrushka.flac,128.94,Bm
104860975,Reverie (Above & Beyond Club Mix),Above & Beyond feat. Zoë Johnston,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0203%20Above%20%26%20Beyond%20feat.%20Zo%c3%ab%20Johnston%20-%20Re.flac,128.57,F#
179593193,I Saw Good,Above & Beyond,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0202%20Above%20%26%20Beyond%20-%20I%20Saw%20Good.flac,128.36,E
120428055,Time Traveller,ALPHA 9,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0201%20ALPHA%209%20-%20Time%20Traveller.flac,128.14,Em
240996395,Problems,Mat Zo feat. Olan,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0116%20Mat%20Zo%20feat.%20Olan%20-%20Problems.flac,126.07,Am
222063255,Oceanic (Jerome Isma-Ae Remix),Above & Beyond pres. Tranquility Base,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0115%20Above%20%26%20Beyond%20pres.%20Tranquility%20Base%20.flac,125.82,F#m
160696617,Lost In You,Marsh,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0103%20Marsh%20-%20Lost%20In%20You.flac,123.27,Cm
121451027,Shake (Original Mix) www.djsoundtop.com,Dan Costello,djsoundtop.com,"Techno, Tech House",file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/Dan%20Costello%20-%20Shake%20(Original%20Mix).mp3,126.0,Bbm
136128316,Dark Knight,AndThen,djsoundtop.com,"Techno, Tech House",file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/AndThen%20-%20Dark%20Knight.mp3,126.0,Bbm
260311212,The Fountain,Sunny Lax,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0216%20Sunny%20Lax%20-%20The%20Fountain.flac,132.0,Cm
220248632,Overtones (PROFF Remix),Frost,Anjunabeats Volume 15,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Desktop/Contents/0111%20Frost%20-%20Overtones%20(PROFF%20Remix).flac,124.84,Dbm
